price,city,kms_driven,age,power,brand,owner
22000,Pune,51516,13,180,Bajaj,First Owner
16000,Ludhiana,36500,13,180,Bajaj,First Owner
27999,Guntur,53999,11,180,Bajaj,First Owner
20000,Delhi,60000,12,180,Bajaj,Second Owner
18800,Faridabad,46555,10,180,Bajaj,First Owner
25000,Faridabad,90393,10,180,Bajaj,First Owner
18800,Faridabad,46555,10,180,Bajaj,First Owner
25000,Delhi,14524,10,180,Bajaj,First Owner
18158,Gurgaon,44000,13,180,Bajaj,First Owner
27999,Guntur,53999,11,180,Bajaj,First Owner
25000,Agra,22000,13,180,Bajaj,First Owner
18000,Kolkata,39303,13,180,Bajaj,First Owner
32000,Jalandhar,70000,10,180,Bajaj,First Owner
18000,Kolkata,39303,13,180,Bajaj,First Owner
22000,Delhi,54000,13,180,Bajaj,Second Owner
32000,Delhi,20000,8,180,Bajaj,First Owner
22800,Delhi,15000,10,180,Bajaj,Second Owner
13000,Mansa,28881,13,180,Bajaj,First Owner
28000,Patiala,69189,10,180,Bajaj,First Owner
15000,Rajkot,28000,12,180,Bajaj,First Owner
20000,Gurgaon,84384,13,180,Bajaj,First Owner
15000,Rajkot,28000,12,180,Bajaj,First Owner
28000,Patiala,69189,10,180,Bajaj,First Owner
35000,Bangalore,34400,11,180,Bajaj,First Owner
22000,Delhi,20700,11,180,Bajaj,Second Owner
59999,Delhi,20850,7,150,Bajaj,First Owner
59999,Delhi,20850,7,150,Bajaj,First Owner
30500,Mumbai,30312,15,180,Bajaj,Second Owner
34000,Pune,40000,11,200,Bajaj,First Owner
39500,Nagpur,24500,12,200,Bajaj,First Owner
33000,Bangalore,31500,14,200,Bajaj,Third Owner
17000,Gurgaon,62554,14,200,Bajaj,First Owner
20000,Noida,45000,11,200,Bajaj,First Owner
25000,Delhi,25000,12,200,Bajaj,First Owner
40000,Bangalore,27875,12,200,Bajaj,First Owner
34000,Chennai,34733,11,200,Bajaj,First Owner
40000,Bangalore,27875,12,200,Bajaj,First Owner
40900,Gurgaon,15000,6,220,Bajaj,First Owner
45000,Hyderabad,36100,6,220,Bajaj,First Owner
40000,Ahmedabad,64000,7,220,Bajaj,First Owner
54200,Mumbai,5700,6,220,Bajaj,First Owner
48000,Aurangabad,26000,7,220,Bajaj,First Owner
45600,Rewari,18000,5,220,Bajaj,Second Owner
45900,Delhi,27000,6,220,Bajaj,First Owner
63000,Bangalore,19333,4,220,Bajaj,First Owner
44000,Delhi,27000,6,220,Bajaj,First Owner
63000,Bangalore,19333,4,220,Bajaj,First Owner
44000,Delhi,27000,6,220,Bajaj,First Owner
65000,Mumbai,20000,7,220,Bajaj,First Owner
65000,Mumbai,20000,7,220,Bajaj,First Owner
68000,Faridabad,14544,3,220,Bajaj,First Owner
35000,Delhi,22000,8,220,Bajaj,Second Owner
33085,Delhi,35000,8,220,Bajaj,First Owner
35000,Delhi,30154,10,220,Bajaj,First Owner
42000,Hyderabad,44400,8,220,Bajaj,First Owner
50000,Saharanpur,18500,9,220,Bajaj,First Owner
50000,Saharanpur,18500,9,220,Bajaj,First Owner
58000,Pune,33000,6,220,Bajaj,First Owner
56000,Bangalore,56000,5,220,Bajaj,First Owner
85000,Bangalore,8000,4,220,Bajaj,First Owner
60000,Bangalore,7600,6,220,Bajaj,First Owner
60000,Bangalore,7600,6,220,Bajaj,First Owner
32000,Ghaziabad,20500,8,220,Bajaj,First Owner
66000,Bhatinda,6000,10,220,Bajaj,First Owner
48000,Dehradun,21000,7,220,Bajaj,First Owner
47000,Pune,42000,7,220,Bajaj,Second Owner
42000,Thane,17028,7,220,Bajaj,First Owner
35000,Delhi,32994,10,220,Bajaj,First Owner
35000,Delhi,32994,10,220,Bajaj,First Owner
48000,Dehradun,21000,7,220,Bajaj,First Owner
47000,Pune,42000,7,220,Bajaj,Second Owner
28500,Ahmedabad,26452,10,220,Bajaj,First Owner
56000,Ahmednagar,42500,6,220,Bajaj,First Owner
35000,Bangalore,43000,9,220,Bajaj,First Owner
60000,Thane,3500,6,220,Bajaj,First Owner
60600,Hyderabad,7200,6,220,Bajaj,First Owner
75000,Rajkot,10000,5,220,Bajaj,First Owner
31100,Kolhapur,11500,9,220,Bajaj,Second Owner
35000,Delhi,15200,10,220,Bajaj,First Owner
26800,Ghaziabad,37248,11,220,Bajaj,First Owner
35000,Kanchipuram,60000,7,220,Bajaj,First Owner
35000,Deolali,14000,8,220,Bajaj,First Owner
40000,Surat,29890,6,220,Bajaj,First Owner
46000,Delhi,1656,6,220,Bajaj,First Owner
52000,Delhi,31782,6,220,Bajaj,First Owner
45000,Jaipur,15091,7,220,Bajaj,Second Owner
40000,Bangalore,26070,8,220,Bajaj,Second Owner
40000,Gurgaon,7600,8,220,Bajaj,First Owner
51000,Pune,25102,6,220,Bajaj,First Owner
50000,Faridabad,13000,7,220,Bajaj,First Owner
45000,Bangalore,38500,7,220,Bajaj,First Owner
35590,Gautam Buddha Nagar,45217,7,220,Bajaj,Second Owner
50700,Gautam Buddha Nagar,16000,7,220,Bajaj,First Owner
60000,Ahmedabad,6193,6,220,Bajaj,First Owner
73000,Nagpur,5000,5,220,Bajaj,First Owner
48700,Gurgaon,16000,6,220,Bajaj,First Owner
60000,Hyderabad,25000,6,220,Bajaj,First Owner
45000,Bangalore,38500,7,220,Bajaj,First Owner
25000,Pune,25388,11,220,Bajaj,First Owner
38000,Mumbai,40000,6,220,Bajaj,First Owner
32000,Hyderabad,11278,11,220,Bajaj,First Owner
33969,Mumbai,33075,8,220,Bajaj,Second Owner
55000,Pune,12500,6,220,Bajaj,First Owner
75000,Bangalore,8600,4,220,Bajaj,First Owner
